match_id,season,match_date,venue,city,match_number,team_1,team_2,toss_winner,toss_decision,match_winner,player_of_match,win_type,win_margin,has_super_over
1426263,2024,2024-04-11,"Wankhede Stadium, Mumbai",Mumbai,25,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,JJ Bumrah,wickets,7,0
1426264,2024,2024-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,26,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Delhi Capitals,Kuldeep Yadav,wickets,6,0
1426265,2024,2024-04-13,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,27,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SO Hetmyer,wickets,3,0
1426266,2024,2024-04-14,"Eden Gardens, Kolkata",Kolkata,28,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,PD Salt,wickets,8,0
1426267,2024,2024-04-14,"Wankhede Stadium, Mumbai",Mumbai,29,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,M Pathirana,run,20,0
1426268,2024,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,30,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,TM Head,run,25,0
1426269,2024,2024-04-16,"Eden Gardens, Kolkata",Kolkata,31,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,JC Buttler,wickets,2,0
1426270,2024,2024-04-17,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,32,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,RR Pant,wickets,6,0
1426271,2024,2024-04-18,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,33,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,JJ Bumrah,run,9,0
1426272,2024,2024-04-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,34,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,KL Rahul,wickets,8,0
1426273,2024,2024-04-20,"Arun Jaitley Stadium, Delhi",Delhi,35,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,TM Head,run,67,0
1426274,2024,2024-04-21,"Eden Gardens, Kolkata",Kolkata,36,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,AD Russell,run,1,0
1426275,2024,2024-04-21,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,37,Punjab Kings,Gujarat Titans,Punjab Kings,bat,Gujarat Titans,R Sai Kishore,wickets,3,0
1426276,2024,2024-04-22,"Sawai Mansingh Stadium, Jaipur",Jaipur,38,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,Sandeep Sharma,wickets,9,0
1426277,2024,2024-04-23,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,39,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,MP Stoinis,wickets,6,0
1426278,2024,2024-04-24,"Arun Jaitley Stadium, Delhi",Delhi,40,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Delhi Capitals,RR Pant,run,4,0
1426279,2024,2024-04-25,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,41,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,RM Patidar,run,35,0
1426280,2024,2024-04-26,"Eden Gardens, Kolkata",Kolkata,42,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings,JM Bairstow,wickets,8,0
1426281,2024,2024-04-27,"Arun Jaitley Stadium, Delhi",Delhi,43,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,J Fraser-McGurk,run,10,0
1426282,2024,2024-04-27,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,44,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SV Samson,wickets,7,0
1426283,2024,2024-04-28,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,45,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,WG Jacks,wickets,9,0
1426284,2024,2024-04-28,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,46,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,RD Gaikwad,run,78,0
